Part,Vendor,Quantity,Digi-Key Part Number,Customer Reference
10 Pos Male Header,3M,25,3M9457-10-ND,10 Pos Male Head
10 Pos Female Header,Sullins Connector Solutions,10,S7008-ND,10 Pos Female Header
8 Pos Female Header,Sullins Connector Solutions,20,S7006-ND,8 Pos Female Header
6 Pos Female Header,Sullins Connector Solutions,10,S7004-ND,6 Pos Female Header
,Texas Instruments,10,LM1117MPX-5.0/NOPBCT-ND,LM1117 5V
,Texas Instruments,10,LM1117MPX-3.3/NOPBCT-ND,LM1117 3v3
,AVX Corporation,20,478-9320-ND,10 uF
,AVX Corporation,20,478-9333-ND,100 uF
,Stackpole Electronics Inc,10,CF14JT1K00CT-ND,1k
,Stackpole Electronics Inc,50,CF14JT330RCT-ND,330
,Stackpole Electronics Inc,50,S200QCT-ND,220
,Cree Inc.,50,C503B-BCN-CV0Z0462CT-ND,Blue LED
,Cree Inc.,50,C503B-GAN-CB0F0792CT-ND,Green LED
